0,1,2,class_binary
-0.18400638,0.86382437,-0.8985472,1
0.3524539,-0.17681043,-1.46584,0
0.047859833,-1.1057951,-0.28068215,1
-0.021888897,1.088446,0.35665524,0
-1.6706868,0.6024854,0.38986775,1
1.533042,-0.8278285,-1.0776837,0
0.5483234,-0.024028197,0.11632438,1
1.695256,-0.4399949,0.14506648,0
2.6907175,0.20314826,-0.49799258,1
-1.4252182,-0.23853765,-0.9978429,1
-1.4497938,0.96714705,0.2330586,0
-0.11730187,0.1371664,-0.35932794,1
1.2068317,1.7029805,-0.31063074,0
0.69931614,-1.3071258,0.8542316,1
-0.63250214,-0.24639119,-0.41278374,1
0.76946855,1.2779466,-1.6410019,1
-0.82651883,-1.3657027,0.86713684,1
0.25988656,-0.1223042,-0.019016914,1
0.0028330982,0.92052466,0.48046708,0
2.7228484,-0.09713319,-0.0043661506,1
-0.87279665,-0.49738622,0.8548532,0
-0.64161515,-1.4227524,-0.75661767,0
1.7717221,-1.1042638,-0.02392644,1
-1.1813122,0.355474,1.1384673,1
-1.6652856,-0.5110432,1.1849226,1
1.5076876,-0.029645458,0.22036904,1
0.0065790936,-0.021801295,0.5675324,1
0.17849009,-1.2633508,-0.08866803,0
0.11929445,-0.06654762,-0.30422843,0
-0.54824793,-1.2862351,0.6791372,0
-0.31910917,0.8416992,0.390367,0
-0.5348385,-0.113588706,-0.3132965,1
-1.2235928,-0.09303116,-0.15663247,0
-2.3106058,-0.849131,-0.8964488,0
0.6794096,-1.8716383,0.42274383,0
-1.5208336,-1.4701909,0.68269616,0
0.6513864,-0.46912485,-1.0070931,0
-1.4460706,-0.16637702,1.3604639,1
-1.3911726,0.28252915,0.5166259,1
-1.2350243,-1.1651334,1.2184958,1
-0.05562021,-0.6070885,-1.4527878,0
0.7787066,-0.5788405,0.9511489,0
-0.35029244,1.3836188,-1.449783,0
1.2202803,0.22067505,-1.0771192,1
0.9061086,1.5888165,2.6407764,0
1.5986528,-0.25979823,1.3687323,1
-0.70576346,-0.1910371,-0.7898106,0
-0.058364987,0.840202,0.5025928,0
0.8116872,-0.8824668,-0.49801326,1
-0.03047748,1.3773277,-0.40090683,0
-1.9072412,-0.14913741,-1.3999139,0
0.08492121,-1.3764973,0.40710053,0
0.96261764,-0.14142925,1.8957238,0
-0.6097704,-0.8055931,0.5765174,1
0.0072811097,-0.26023307,-0.8482366,0
-1.5755535,-0.12485683,0.0573213,0
0.9820235,0.49850628,0.94350266,1
0.7181876,-1.7039821,-0.70911366,0
-0.15565652,-0.7716518,-1.4101397,0
0.2696762,1.2296239,1.1060139,0
1.4717599,-1.0972434,0.53310204,0
0.6040423,-1.3620644,-1.3392185,1
-1.4011794,-2.1414814,1.1376214,0
-3.8981018,-0.3991134,-0.33788064,0
-1.2905661,1.1864448,1.9698427,1
1.5994476,0.24312297,-0.5089241,0
-0.96912044,-0.15042207,0.39810765,1
-1.7853303,1.056657,-0.62023956,0
-0.48018694,0.07496715,-0.08656908,0
-1.443077,1.1379389,0.4069158,0
0.2910141,-0.26213968,0.33007973,1
1.0060831,-0.15200484,0.85602176,0
-0.5089779,0.5387616,-0.11105725,1
-0.023319855,1.3053502,1.4645952,0
1.9255949,-1.2095023,-0.20459393,0
-1.2103834,-0.45711422,-0.83061737,0
1.3482835,-1.3919833,-1.3213179,0
-0.031303436,0.67166066,0.85143363,0
-2.825492,-1.510378,0.32872042,1
0.027634315,-0.34571642,0.19483344,0
0.83502305,0.12759884,-2.3203652,0
0.8127162,0.92725646,0.24751598,0
-1.6189737,0.9541712,1.2195774,0
-0.64788556,-0.6069194,-0.9722928,0
-1.3535601,0.7579974,0.29809046,1
-1.3703027,1.1827492,0.758896,0
0.1311459,0.1843642,-0.5616109,0
0.3282075,0.2764845,-0.633423,0
-0.07586989,-0.62461114,-0.21215825,1
-0.11218165,1.2926623,0.23316246,0
-0.4211356,1.4453228,-0.6261227,0
0.0151783675,-1.187513,0.64431834,0
0.05677574,-0.5695158,0.30466452,0
-1.4789151,0.52810806,0.053563442,1
0.86928856,1.4891529,-0.9882355,0
-0.53004205,0.30262154,-0.095199615,0
1.474079,-0.8849869,-0.48057765,0
-1.4688498,0.021209829,0.81898266,0
-0.27572435,1.0878047,0.7035551,0
-0.65982664,1.6097708,-1.5982302,1
-0.25224602,-0.100113645,-0.7312048,1
-0.15705955,-1.8005271,-0.15122488,0
0.050079107,0.9618003,-0.12905003,0
-0.97798425,-0.23544103,-0.22232482,0
-1.6934112,-0.19775948,0.18999544,0
0.00020089746,-0.6132846,0.2719101,0
1.3573091,-0.45238996,1.396088,0
-1.2163869,-1.5831314,-0.56794983,0
0.046508014,-0.26173037,-1.2696633,0
0.35265845,-0.18031123,0.6249896,1
1.0941229,0.085737646,-0.59529316,1
0.8561708,1.4363959,-1.6147922,1
-0.085749194,0.8082185,-0.7685989,0
-0.0008276254,0.16223086,-0.873943,0
0.7989173,1.3326458,0.07227944,1
-0.817166,-0.9572046,0.05062341,1
1.6610749,-0.5693089,0.888005,1
0.7861432,-0.26106852,-0.041999947,0
-0.3633022,-1.2661266,-1.1126766,0
-0.666386,-0.13690263,-0.8124492,0
0.019695312,-1.2704755,2.2697368,1
0.6914971,-1.2900966,-0.7255895,0
-0.10198735,-0.46964997,-1.7777174,0
0.33961087,-0.07846022,0.032768987,0
-0.26229486,-0.23736131,0.4942947,1
1.0092666,1.6955156,0.9843359,1
1.103938,1.0647873,1.6335073,0
-2.014903,-0.99548256,0.61820066,0
-1.9048426,-0.36734104,0.6710898,1
-0.07125965,-0.6131834,0.20292178,1
1.293333,1.3243935,-1.3686177,1
1.3272877,-0.26130512,0.06163317,1
0.062716976,0.7382369,1.3687727,1
-0.8339173,-1.2623285,0.18661404,0
1.4430128,-0.85860085,-0.17715795,0
0.001480978,0.36184123,2.1848018,0
-0.08672136,-0.80336297,0.43523777,0
-0.33049154,0.561025,1.230986,0
-1.3814726,-1.079834,-0.17865583,0
-1.1911967,1.1246195,0.98781145,0
-0.40061235,-0.39233464,0.22628413,0
1.590469,-0.67365074,-2.1012874,0
0.15706082,-1.0981147,0.3390687,0
0.6729078,-0.2977674,-1.316425,1
-0.7262064,-0.9720645,-0.93963933,0
1.8361633,0.43146086,-1.1859882,0
1.9505174,-0.41543937,0.7791664,0
0.4442104,0.09767565,0.43101472,0
-1.3298131,-0.53775,0.011757029,0
-1.4081354,-0.05307591,-0.4245959,0
-0.23536053,-0.5946405,0.6975231,0
-0.059328336,-0.610625,-1.440989,0
-0.93055564,-0.38719642,-0.8167479,1
1.0143452,0.32873225,-0.91514623,0
-0.5217702,-0.47081214,1.2288189,1
-1.4295967,-1.470653,-0.07682273,1
-1.6104544,-1.1709032,0.293895,0
0.20026404,0.01680048,-1.4879652,0
-2.1779966,-1.7683179,-1.3519075,0
0.049104378,-0.3631586,-0.3724965,1
-0.14284533,1.0461297,0.31493333,0
0.95726794,1.0275564,1.4837915,0
-1.7948749,0.051080726,-0.9867553,0
-0.9502488,-0.18700401,-0.6992142,0
1.1627642,0.80360544,-0.93809175,1
0.77005816,-1.2408514,-0.015557013,1
-0.81268394,-0.9521963,0.7174933,0
-0.13433252,-0.20175682,1.0047175,0
1.2649211,0.46828526,1.79993,0
-0.77782273,-0.72594464,-1.1482112,0
-0.75453365,-0.25648117,0.6824305,1
1.6906126,0.93562526,1.3886265,1
