0,1,2,cardio
-0.39104092,-1.7180703,2.5979762,0
-2.3434293,-1.5609252,-0.37199587,1
-2.0791461,-0.5929578,0.13796599,1
1.812347,-0.9760024,-0.447307,1
-2.0929997,-0.1668841,0.015305771,0
-2.1225905,-1.0540721,0.21378487,0
1.7368956,0.90121716,-1.8406394,0
-0.30740246,0.8547441,2.3623,1
1.7114153,1.1123708,0.34516722,0
-1.8981345,0.85986495,-2.2030458,0
0.7797451,-0.5071999,-0.8036067,0
0.25500438,1.1160554,0.7961962,0
-1.1574918,0.8030816,-0.1777953,0
1.5247122,0.49383736,0.19655964,0
-1.1797079,-0.8528433,-0.07014906,0
0.9500245,0.25128144,0.60858065,1
-0.8120615,0.5987172,1.2178738,0
-0.8704041,-0.5341946,-1.1406225,0
0.22979449,-0.11077728,0.7701992,0
0.0034208903,-1.6090474,0.35767534,0
-0.16219574,0.15573461,-0.21207586,0
1.4813482,0.52684706,1.1639793,0
0.92146945,0.7511428,0.89571637,1
0.6691976,-0.9222367,0.018693767,0
1.6260059,0.4007586,-0.81712943,1
0.20389292,-0.5740496,1.3300982,0
1.7273773,0.20542923,0.41048753,0
-1.5196446,0.28864792,1.6082709,0
0.38381726,-0.6598788,0.76028043,0
1.0044154,-1.2503296,0.04515517,0
-1.7917706,0.74514973,-0.8843634,1
-0.28469512,-0.5121082,-1.642994,1
-1.480948,-0.027906682,1.6441611,0
-1.3014654,0.64649075,-0.5130658,1
0.87447083,-0.4531343,-0.80009705,1
-0.6051507,1.1176615,1.0742109,0
0.40161675,-1.1790007,1.0378855,0
1.5548432,2.4048786,-0.9528622,0
0.49564216,-0.20799874,1.1863286,1
0.64195937,0.52040744,0.61102945,1
1.4023136,-0.4033282,0.23233213,0
1.4009604,0.23071997,0.27737278,1
-1.129113,-0.050559983,-0.22119866,1
1.662841,-0.04813066,1.1373757,1
-2.2000175,-1.6013011,-0.3206594,1
0.7466288,0.48641565,-0.73091376,1
-0.7080763,-0.75408596,1.214266,1
-0.811382,0.96685696,-1.2422296,0
-0.2931762,-1.5629996,0.62334186,0
1.1215832,1.3437493,0.6795716,0
-1.6316307,0.13125762,-1.1989458,0
0.1136303,-0.13023324,-0.9467683,1
0.6287501,-1.7581828,0.7722513,1
1.1116033,1.1276393,0.17273332,1
-0.20667191,-0.49628392,2.7836337,1
-1.029907,-0.68077004,0.6569852,0
-1.133393,-0.595045,-0.16004121,0
-1.3374566,-0.6087229,-1.8525358,1
0.7999866,1.0132098,-0.9097729,1
-0.21393691,2.1381028,-0.25541157,1
-1.0306377,-0.57700336,0.59054977,0
0.3889807,-1.6508512,1.2152439,1
-2.0303361,-0.22098674,0.114281446,0
0.3113882,0.85648084,1.1086837,0
-1.4757338,-1.9429418,-0.43964726,1
1.442243,0.5456157,0.8533417,1
-0.65684247,-1.2794429,-0.80838543,0
0.8890491,-0.17150295,-0.8320213,1
-1.4082178,-0.55147314,-0.467196,1
0.49703234,0.21759547,0.92759126,1
-0.57250196,-1.4371926,-0.6456105,1
0.37695283,-0.7140619,1.010069,1
-0.7669955,-2.5940285,0.29064703,0
-0.33021635,-0.048833266,-0.37645388,1
0.92586803,-0.99786335,-0.7197023,0
-0.86387014,0.80283016,0.40616676,1
-0.19416365,-0.10525221,1.163379,1
0.9183086,-0.12524544,-0.86457556,1
-1.4260762,0.0037050452,-0.69932264,1
-0.09135846,2.1302588,-0.2918831,1
0.803991,-0.49208128,0.6853546,0
1.4940178,-0.70963013,0.5126759,0
-1.154125,0.9274716,-1.4619278,1
0.12247892,-1.0756241,-0.9335407,1
0.93202525,0.747811,-1.2671553,1
-1.1576544,0.69302297,-0.24597692,0
-0.18941198,-0.6807461,0.55631995,1
-1.3485818,-0.6074412,-0.444656,1
-0.007300392,-1.3097886,0.24793129,1
1.0247848,-1.6066501,-0.5712315,0
2.0132937,-0.028010935,1.0057288,0
1.1346955,0.26911175,0.37416312,1
0.22116086,-0.38727558,1.3103409,1
-2.3778648,0.90143305,-0.93593377,0
0.27859372,-0.9724008,0.6625689,0
0.075322896,0.21723637,0.21291992,0
2.0728254,1.3705183,0.9255131,0
-0.72888273,1.0527673,0.94390273,1
0.023183048,-0.34505993,0.32117653,1
-0.8079301,0.7005503,-1.2824427,1
-1.0712329,0.114538476,-1.1164339,0
-0.17126529,-0.80557746,-2.2332132,0
-1.3129348,0.9043844,-0.94009906,0
-1.2065735,1.6206902,-1.0026858,0
-1.3521681,-0.56652594,-1.0804515,1
0.702041,0.3630719,1.4073398,1
-0.44640726,1.83942,-1.8354487,1
-0.6618808,0.8515701,-1.059602,1
1.7457831,0.2105812,0.27104655,1
1.9439752,-0.6847601,0.37617785,1
1.3986812,0.7673753,-0.6302797,1
-0.3624145,-0.4903163,-1.5717154,1
-1.3937504,-0.63048327,-2.3089545,0
-0.35880384,1.1487294,2.379128,1
-0.18954152,-1.133628,-2.1921928,0
-0.94909227,-0.4523859,0.611544,1
0.70018137,-0.5689992,0.9285971,0
0.9527102,1.8956463,-0.22000778,1
0.52205014,-0.28994873,0.52433324,0
-0.2501895,0.579834,-0.17167659,0
0.9375003,1.9884568,0.329606,1
0.15223269,1.3629314,0.16515677,1
1.7201096,1.0662595,0.2783182,1
-0.3458269,-1.3298556,0.024958566,0
0.91970074,0.49309522,0.8300028,1
1.8752923,1.6570743,1.0900432,0
0.11227171,-0.14232197,1.1082658,0
-1.4840001,1.1466707,1.617088,1
0.5172606,-0.33091494,0.6216901,1
0.91916627,-0.15519616,0.8707943,1
-0.72976756,0.37321848,-1.0363452,1
0.7583264,1.6858987,0.14171304,0
-0.8702104,-0.7682937,0.5422075,0
-0.51471525,0.17098846,-1.4308634,0
1.2664255,-0.11630172,0.6231029,1
-0.79276735,1.1978889,-1.3188796,1
0.92251706,1.2437693,-0.9249491,0
-0.9189657,0.60546565,1.1487924,0
1.240442,-0.6494384,0.3952549,0
-0.942789,0.2677897,-1.6763515,0
0.97869575,1.3263819,0.4438792,0
0.8316635,0.037716813,1.6375422,1
-1.4142914,-0.6388557,-0.46059853,1
-0.238969,0.34673187,0.46190858,1
-1.1719791,0.3391308,-0.18468517,1
-0.48010084,-0.8224711,-1.4186168,0
-0.8430253,-0.68756986,0.5178294,0
0.6781034,1.3775566,1.6362222,1
0.43952242,0.6168747,0.19004476,0
0.62538975,-1.5484443,-1.7294166,0
0.78453374,0.08508612,1.3466449,1
-1.1099182,0.18895338,-0.6890433,1
-2.322796,-1.054091,-0.33085296,0
1.697771,0.5825781,1.1505878,1
0.4328128,-0.73967445,1.1586226,1
0.64731604,-1.0357282,0.9294509,1
-1.07122,-1.9288417,-0.86810106,1
1.5353867,-0.9223107,1.1956563,0
-1.3570956,0.76338416,-0.54044914,1
0.8725706,-0.9289894,0.7733442,1
0.7273716,-0.9744986,-0.63377833,0
-1.8084197,-0.9042032,-1.9946544,0
2.0175366,0.7713761,-0.8337166,0
