0,1,2,CreditCard
-2.0002298,-0.9739984,0.36155647,0
1.0788684,-1.3085308,-0.6674948,0
-1.3407837,-0.18180883,-0.48080155,0
-1.6923198,-0.49860218,0.28753054,0
1.274371,-0.2521152,-0.2901863,1
0.4810656,-2.1298935,-0.26045045,0
0.69978297,0.2859419,-1.6313863,0
0.31050152,-0.18357351,-1.668324,1
1.3602368,0.13483205,-0.71087825,0
0.690132,-0.18055388,-0.9673298,0
-2.0929317,0.4378137,-0.38649723,0
-0.652753,0.23960522,1.228216,0
0.42857978,-1.9475968,0.30388808,0
0.3973577,0.27663016,-1.0593243,0
0.2398488,-1.1412935,0.5841997,0
0.49308303,1.0848244,-0.597628,1
1.6435082,-1.0004566,1.0521586,0
1.5199349,-0.050256312,0.4133491,0
0.31535965,0.053871617,-0.9462109,0
0.64027524,0.804347,-0.91552967,1
-0.40491542,1.4629124,-1.4546334,0
0.011610478,-1.2916893,-0.38226998,0
1.8414109,0.7507104,-0.17266607,0
-0.7525836,1.9339178,-0.15092488,0
-0.83355844,-0.27433538,-0.81761265,1
1.5991269,0.15961573,-0.84584767,0
0.970176,-1.1564543,-1.8604257,0
-0.40716368,-1.014341,0.2451195,1
1.3394952,-0.6861087,1.229222,1
-0.609041,0.32734174,0.31609648,1
-0.2432906,-1.1819929,0.59918797,0
-0.10340908,0.4083901,-1.2960966,0
1.5527291,0.19292313,0.14735238,0
-0.51181686,-0.87756217,2.1537914,0
0.23738873,-1.4779935,-0.9051996,0
-1.034518,-0.5805254,-0.2162292,0
-0.18462902,-0.92053515,1.0117737,1
-0.8061119,1.8021463,0.006870739,0
-0.4922571,0.883745,-1.7186284,0
-3.0574362,-0.022112459,0.13827148,0
-0.17854506,-0.9376727,-0.2769424,0
1.4510427,-1.0711193,0.034718163,0
-2.35157,-0.6223109,1.5035295,0
0.31027937,-0.8412652,-1.0576813,0
-0.7069346,0.3224717,0.3891207,1
-0.8699051,-0.2728538,0.55868477,1
1.27604,-1.219804,-0.28173062,0
-2.3754208,0.9588076,0.4503929,1
0.45305318,-1.6085413,-1.3214313,1
-1.2239213,0.2486615,0.114568174,1
-0.8663532,1.6916399,-0.30808753,0
0.28406587,-0.8596746,-1.5591273,0
0.8632756,0.6621452,1.0492727,0
-1.4659915,-0.76551205,0.29402176,0
-1.1227379,0.5400686,0.3560066,0
-0.4755417,0.59581995,0.49845976,0
0.36287704,-0.48581707,-0.9784876,0
0.74841774,-0.8419862,0.06716528,0
0.9242048,-0.24541509,-1.4148729,0
-0.39561775,0.01528433,0.7588483,0
-1.1122367,0.8580977,0.55205697,0
-0.25249878,1.1157359,-0.95691395,0
0.43603516,0.15144548,-1.4151455,0
0.92604226,-0.14587471,-0.6282241,0
-2.1090846,-1.0937501,1.2148577,0
-0.023646623,0.5029626,-0.8746333,1
-0.74291646,-0.058762103,0.15372571,0
-1.0149982,-0.0054478943,0.69714046,0
-0.21118209,0.5864533,-1.3239305,1
-1.3341984,0.7610887,0.45960933,0
-2.3732383,1.5971429,2.217195,1
0.16352183,-0.19642285,-0.7661247,0
0.06394169,-1.0392704,-0.45125526,1
-0.019564837,-0.46862423,-0.49825168,1
1.0906929,0.25713894,-1.8133888,1
0.38204554,0.21040563,-1.1950954,1
0.7278495,-0.88864374,-0.9274495,0
-0.7054955,0.23783481,0.3839426,0
-1.0333039,1.0480553,0.5406883,0
0.46866655,0.20923415,-0.9580169,0
0.4201917,0.9484788,-1.0000762,1
-0.110237986,-1.5748563,0.3793931,0
-0.17182389,-0.25284618,-1.1935791,0
-0.22875401,0.6614053,-1.5693771,0
-0.49327734,1.9779387,0.38311994,0
0.7183037,-0.024398535,-1.2588482,0
0.70881814,0.13574377,-1.0258129,0
-0.5878222,-0.50087506,2.560848,0
0.24313727,1.0441574,0.19450688,0
0.27766317,-1.403033,-0.11251609,1
-2.3613975,-0.7561637,-0.63933086,0
0.30519876,-0.8923501,-0.90866,0
-0.68135613,0.05227968,0.41606677,0
0.24126574,-0.84622383,1.0856367,0
-2.1594238,-0.8909582,1.8862458,0
-0.20954445,-0.28613806,-0.4630372,0
0.15928814,-1.6541934,-0.4853216,0
0.19527125,0.18144944,-1.4056941,0
-1.4475632,-0.2599764,0.26797628,0
-2.3067708,0.71618336,0.16288666,0
0.9205191,0.8730263,-1.0381225,0
-0.029030591,0.4470951,-0.9431049,0
1.2613441,-0.38760996,-0.35281825,1
0.48258954,0.5354692,0.77919805,0
-1.2502408,-0.43450117,0.944157,1
0.22364908,0.24295747,-0.6694994,0
-1.7988784,-0.66835773,0.76301557,1
0.59350526,-1.3877655,0.37152866,0
-2.171841,-0.4115901,0.3098173,0
1.1489872,0.5378941,1.049969,0
0.41114625,-1.50901,0.853547,0
-0.25050962,-1.2314405,-1.1600788,0
1.0047878,1.5707601,0.47128844,0
-1.3932775,0.64106727,0.04058744,0
1.26929,0.13888001,1.593942,0
-0.48062783,-1.4943361,0.3125898,0
-0.25321165,0.20716378,-0.7807878,0
0.51542974,-1.4366637,-0.92727983,0
0.6254394,-1.7531562,0.5052398,0
-0.27595368,0.2729279,-1.0605377,0
-1.1496488,-0.24107507,0.30898696,0
-1.7611806,-0.76543146,0.17980796,0
1.3577515,-0.11885765,-0.92559624,1
-0.044136256,-1.7233942,-0.6915433,0
-0.8288669,-0.21864188,0.65028536,0
-1.0428593,-0.54966825,0.30104488,0
1.0731685,-0.7545078,0.8303231,1
0.121367276,0.6513952,-0.6680354,0
-0.027095795,-1.1413047,0.33094934,0
0.91562754,1.8628297,0.41409397,1
0.37036043,-1.2966279,-0.5129881,0
-2.284797,0.30307996,0.16716652,1
1.040839,-0.5213341,-1.6332085,0
-0.30428916,-1.2558199,0.68462795,0
0.015310794,-1.378959,0.52096725,0
0.07600257,-0.013994336,-1.1989783,1
0.4430955,0.03961724,-1.0613627,0
0.8746933,-1.4160613,-0.04793525,0
0.28164855,-1.8921425,0.6701741,1
0.3206936,-0.5939585,-1.3876972,0
-1.9637074,0.3701181,-0.42011124,1
0.66710365,-1.4898046,-1.5478952,1
1.3520993,0.49231553,-1.4749188,1
-0.24975589,-0.259691,-1.043951,1
1.411726,0.4289911,0.24038707,0
-2.6823964,1.2917179,1.0797501,1
0.20984855,-0.7443648,0.8133175,1
1.4402577,-0.12666202,-1.0671868,0
-0.23212214,-0.50486183,2.5196393,0
1.0003334,0.73027813,-0.4451747,0
0.096184164,0.1770922,-1.071376,1
