ID;Age;Experience;Income;ZIP Code;Family;CCAvg;Education;Mortgage;Personal Loan;Securities Account;CD Account;Online;CreditCard
954,4837;38;10,065128;55,93166;92387,74;1;0,8;2;0;0;1;1;1;1
1503,3289;47;21,362486;155,44936;95089,984;0;2;1;343,6373;0;0;0;1;0
4234,9336;53;31;53,982037;91311,17;0;0,18908173;1;137,3138;0;0;0;0;0
1804,7848;60;34,410744;43,39613;95621,39;0;1,1;1;148,27242;0;0;0;1;0
2551,6145;41;14;70,47527;94304,56;0;1,8962245;1;171,70033;0;0;0;1;1
3585,0862;49;22,10687;64;91080,85;0;2,101285;1;0;0;0;0;1;1
4659,8823;48;21;24;94079,24;0;1,7;3;0;0;1;0;1;1
769,5513;26,114315;2;68,70622;93943;0;2,5546608;1;217,58304;1;1;0;1;0
4480,417;41;14,074665;38,960266;92355,53;0;0;2;0;0;0;0;1;0
4302,6997;46;20;68,374855;92699,36;0;1,4;2;0;0;0;0;1;0
2075,8071;45;20;82,89242;90240,99;0;1,2635165;1;0;0;0;0;0;0
1368,5208;37;9,557038;80,11539;92247,516;0;1,8;3;0;0;0;0;0;0
3450,6353;29;4;71,3016;94934,76;0;1,5;1;0;0;0;0;1;1
105,537056;38;14;70,33949;94096,58;0;0,9;2;0;0;0;0;1;0
3071,05;60;35;81;90271,766;0;1,7;2;0;0;0;0;1;0
2398,5461;59,272385;34;132,54906;95053,71;1;2,5;3;0;0;0;1;1;1
3552,4526;50;23;20;92123,51;0;1,6;3;0;0;0;0;1;0
4350,595;45;16;120,936195;95301,4;0;3,3644664;2;0;0;0;0;1;0
3363,9287;56;31,85248;82,45925;90823,96;0;2;3;0;0;0;0;1;0
1525,5415;47;21;149,49512;94131,914;0;2,6518753;1;0;1;0;0;0;0
2292,669;57;34;172,83382;94542,664;0;4,8587003;1;0;0;0;0;1;0
4853,3145;25,645256;0;60;94720;0;1,3811917;3;0;0;0;0;0;1
743,5903;48;22;28,149513;94038,01;0;1,4;3;0;0;0;0;0;1
4493,023;47;21;54,04574;94270,81;0;0,03272173;1;0;0;0;0;0;1
3180,912;28;1;110,3537;94501,07;0;1,8;3;0;0;0;0;1;0
2961,5771;42;18;77,42581;92311,86;0;1,0010599;3;0;0;0;0;1;1
1033,2833;48;20;42;92007,375;1;1,6711414;1;89,87784;0;1;1;1;1
1170,433;46;18;122,07142;92686,88;0;0,7;2;0;0;0;0;1;0
3493,6753;33;7;78;95052,12;0;0,5;2;0;0;0;0;1;1
4673,4507;33;6,2441344;80,91687;93342,28;0;2,6;1;0;0;0;0;1;0
4279,5513;26;2,4808059;40;94103,05;0;0,7;3;127,736046;0;0;0;1;0
3202,8018;36;10;19,838085;90024,72;0;0,6;3;0;0;0;0;0;0
1043,2505;43,638878;18,124119;173,7772;90077,734;0;2,2;2;0;0;0;0;1;0
4132,2344;49;26;14,227329;94132,34;0;1;3;0;0;0;0;0;0
263,0459;49;23;93,003006;94720;1;2,7336404;2;0;0;0;1;1;1
595,9601;32;4;78,93671;94305;0;0,2;2;222,26021;0;0;0;1;0
508,0728;56;31;78,81799;91770,93;0;4,4526634;3;0;0;0;0;1;0
1935,0276;51,893517;23;33;95817,89;0;0,8;2;181,00557;0;0;0;1;1
3677,6091;62,652485;35;110,86298;92035,24;0;2,7415106;1;257,07156;0;0;0;0;0
2002,4299;24,141327;0;51,431858;93937,43;0;2,6;1;220,01598;0;0;0;1;0
1889,6262;47,2698;21;24,612074;93018,516;0;2;3;0;0;0;0;1;0
4962,8667;51;26;61,40963;92128,375;0;0,45188862;2;0;0;0;0;1;0
2753,954;34,490936;10;24,272655;93106;0;0,5;3;0;0;0;0;0;0
2987,4695;45;20;82,90178;92673,04;0;1,4;1;0;0;0;0;0;0
3438,6301;28,305065;2,6675727;62;94305;0;1,5;2;0;0;0;0;1;0
1641,7118;34;7;43;92474,414;0;1;2;0;0;0;0;0;0
2676,99;29;3,6112435;15,857679;95076,94;0;0;1;0;0;0;0;1;0
4489,7173;52,568436;31;38;90089;0;1,5;3;94,0254;0;0;0;0;0
3439,5483;45;19;49,413506;94113,54;0;0,9;3;0;0;0;0;1;0
